iter,view_total,view_num,spin_total,spin_num,time,memory
4,75,75,25,21,1716722890384,54019440
4,75,75,25,22,1716722890384,54019440
4,75,75,25,23,1716722890384,54019440
4,75,75,25,24,1716722890384,54019440
4,75,75,50,0,1716722896353,82351488
4,75,75,50,1,1716722896353,82351488
4,75,75,50,2,1716722896353,82351488
4,75,75,50,3,1716722896353,82351488
4,75,75,50,4,1716722896353,82351488
4,75,75,50,5,1716722896353,82351488
4,75,75,50,6,1716722896353,82351488
4,75,75,50,7,1716722896353,82351488
4,75,75,50,8,1716722896353,82351488
4,75,75,50,9,1716722896353,82351488
4,75,75,50,10,1716722896353,82351488
4,75,75,50,11,1716722896353,82351488
4,75,75,50,12,1716722896353,82351488
4,75,75,50,13,1716722896353,82351488
4,75,75,50,14,1716722896353,82351488
4,75,75,50,15,1716722896353,82351488
4,75,75,50,16,1716722896353,82351488
4,75,75,50,17,1716722896353,82351488
4,75,75,50,18,1716722896353,82351488
4,75,75,50,19,1716722896353,82351488
4,75,75,50,20,1716722896353,82351488
4,75,75,50,21,1716722896353,82351488
4,75,75,50,22,1716722896353,82351488
4,75,75,50,23,1716722896353,82351488
4,75,75,50,24,1716722896353,82351488
4,75,75,50,25,1716722896353,82351488
4,75,75,50,26,1716722896353,82351488
4,75,75,50,27,1716722896353,82351488
4,75,75,50,28,1716722896353,82351488
4,75,75,50,29,1716722896353,82351488
4,75,75,50,30,1716722896353,82351488
4,75,75,50,31,1716722896353,82351488
4,75,75,50,32,1716722896353,82351488
4,75,75,50,33,1716722896353,82351488
4,75,75,50,34,1716722896353,82351488
4,75,75,50,35,1716722896353,82351488
4,75,75,50,36,1716722896353,82351488
4,75,75,50,37,1716722896353,82351488
4,75,75,50,38,1716722896353,82351488
4,75,75,50,39,1716722896353,82351488
4,75,75,50,40,1716722896353,82351488
4,75,75,50,41,1716722896353,82351488
4,75,75,50,42,1716722896353,82351488
4,75,75,50,43,1716722896353,82351488
4,75,75,50,44,1716722896353,82351488
4,75,75,50,45,1716722896353,82351488
4,75,75,50,46,1716722896353,82351488
4,75,75,50,47,1716722896353,82351488
4,75,75,50,48,1716722896353,82351488
4,75,75,50,49,1716722896353,82351488
4,75,75,75,0,1716722903124,133707832
4,75,75,75,1,1716722903124,133707832
4,75,75,75,2,1716722903124,133707832
4,75,75,75,3,1716722903124,133707832
4,75,75,75,4,1716722903124,133707832
4,75,75,75,5,1716722903124,133707832
4,75,75,75,6,1716722903124,133707832
4,75,75,75,7,1716722903124,133707832
4,75,75,75,8,1716722903124,133707832
4,75,75,75,9,1716722903124,133707832
4,75,75,75,10,1716722903124,133707832
4,75,75,75,11,1716722903124,133707832
4,75,75,75,12,1716722903124,133707832
4,75,75,75,13,1716722903124,133707832
4,75,75,75,14,1716722903124,133707832
4,75,75,75,15,1716722903124,133707832
4,75,75,75,16,1716722903124,133707832
4,75,75,75,17,1716722903124,133707832
4,75,75,75,18,1716722903124,133707832
4,75,75,75,19,1716722903124,133707832
4,75,75,75,20,1716722903124,133707832
4,75,75,75,21,1716722903124,133707832
4,75,75,75,22,1716722903124,133707832
4,75,75,75,23,1716722903124,133707832
4,75,75,75,24,1716722903124,133707832
4,75,75,75,25,1716722903124,133707832
4,75,75,75,26,1716722903124,133707832
4,75,75,75,27,1716722903124,133707832
4,75,75,75,28,1716722903124,133707832
4,75,75,75,29,1716722903124,133707832
4,75,75,75,30,1716722903124,133707832
4,75,75,75,31,1716722903124,133707832
4,75,75,75,32,1716722903124,133707832
4,75,75,75,33,1716722903124,133707832
4,75,75,75,34,1716722903124,133707832
4,75,75,75,35,1716722903124,133707832
4,75,75,75,36,1716722903124,133707832
4,75,75,75,37,1716722903124,133707832
4,75,75,75,38,1716722903124,133707832
4,75,75,75,39,1716722903124,133707832
4,75,75,75,40,1716722903124,133707832
4,75,75,75,41,1716722903124,133707832
4,75,75,75,42,1716722903124,133707832
4,75,75,75,43,1716722903124,133707832
4,75,75,75,44,1716722903124,133707832
4,75,75,75,45,1716722903124,133707832
4,75,75,75,46,1716722903124,133707832
4,75,75,75,47,1716722903124,133707832
4,75,75,75,48,1716722903124,133707832
4,75,75,75,49,1716722903124,133707832
4,75,75,75,50,1716722903124,133707832
4,75,75,75,51,1716722903124,133707832
4,75,75,75,52,1716722903124,133707832
4,75,75,75,53,1716722903124,133707832
4,75,75,75,54,1716722903124,133707832
4,75,75,75,55,1716722903124,133707832
4,75,75,75,56,1716722903124,133707832
4,75,75,75,57,1716722903124,133707832
4,75,75,75,58,1716722903124,133707832
4,75,75,75,59,1716722903124,133707832
4,75,75,75,60,1716722903124,133707832
4,75,75,75,61,1716722903124,133707832
4,75,75,75,62,1716722903124,133707832
4,75,75,75,63,1716722903124,133707832
4,75,75,75,64,1716722903124,133707832
4,75,75,75,65,1716722903124,133707832
4,75,75,75,66,1716722903124,133707832
4,75,75,75,67,1716722903124,133707832
4,75,75,75,68,1716722903124,133707832
4,75,75,75,69,1716722903124,133707832
4,75,75,75,70,1716722903124,133707832
4,75,75,75,71,1716722903124,133707832
4,75,75,75,72,1716722903124,133707832
4,75,75,75,73,1716722903124,133707832
4,75,75,75,74,1716722903124,133707832
4,75,75,100,0,1716722910037,174403752
4,75,75,100,1,1716722910037,174403752
4,75,75,100,2,1716722910037,174403752
4,75,75,100,3,1716722910037,174403752
4,75,75,100,4,1716722910037,174403752
4,75,75,100,5,1716722910037,174403752
4,75,75,100,6,1716722910037,174403752
4,75,75,100,7,1716722910037,174403752
4,75,75,100,8,1716722910037,174403752
4,75,75,100,9,1716722910037,174403752
4,75,75,100,10,1716722910037,174403752
4,75,75,100,11,1716722910037,174403752
4,75,75,100,12,1716722910037,174403752
4,75,75,100,13,1716722910037,174403752
4,75,75,100,14,1716722910037,174403752
4,75,75,100,15,1716722910037,174403752
4,75,75,100,16,1716722910037,174403752
4,75,75,100,17,1716722910037,174403752
4,75,75,100,18,1716722910037,174403752
4,75,75,100,19,1716722910037,174403752
4,75,75,100,20,1716722910037,174403752
4,75,75,100,21,1716722910037,174403752
4,75,75,100,22,1716722910037,174403752
4,75,75,100,23,1716722910037,174403752
4,75,75,100,24,1716722910037,174403752
4,75,75,100,25,1716722910037,174403752
4,75,75,100,26,1716722910037,174403752
4,75,75,100,27,1716722910037,174403752
4,75,75,100,28,1716722910037,174403752
4,75,75,100,29,1716722910037,174403752
4,75,75,100,30,1716722910037,174403752
4,75,75,100,31,1716722910037,174403752
4,75,75,100,32,1716722910037,174403752
4,75,75,100,33,1716722910037,174403752
4,75,75,100,34,1716722910037,174403752
4,75,75,100,35,1716722910037,174403752
4,75,75,100,36,1716722910037,174403752
4,75,75,100,37,1716722910037,174403752
4,75,75,100,38,1716722910037,174403752
4,75,75,100,39,1716722910037,174403752
4,75,75,100,40,1716722910037,174403752
4,75,75,100,41,1716722910037,174403752
4,75,75,100,42,1716722910037,174403752
4,75,75,100,43,1716722910037,174403752
4,75,75,100,44,1716722910037,174403752
4,75,75,100,45,1716722910037,174403752
4,75,75,100,46,1716722910037,174403752
4,75,75,100,47,1716722910037,174403752
4,75,75,100,48,1716722910037,174403752
4,75,75,100,49,1716722910037,174403752
4,75,75,100,50,1716722910037,174403752
4,75,75,100,51,1716722910037,174403752
4,75,75,100,52,1716722910037,174403752
4,75,75,100,53,1716722910037,174403752
4,75,75,100,54,1716722910037,174403752
4,75,75,100,55,1716722910037,174403752
4,75,75,100,56,1716722910037,174403752
4,75,75,100,57,1716722910037,174403752
4,75,75,100,58,1716722910037,174403752
4,75,75,100,59,1716722910037,174403752
4,75,75,100,60,1716722910037,174403752
4,75,75,100,61,1716722910037,174403752
4,75,75,100,62,1716722910037,174403752
4,75,75,100,63,1716722910037,174403752
4,75,75,100,64,1716722910037,174403752
4,75,75,100,65,1716722910037,174403752
4,75,75,100,66,1716722910037,174403752
4,75,75,100,67,1716722910037,174403752
4,75,75,100,68,1716722910037,174403752
4,75,75,100,69,1716722910037,174403752
4,75,75,100,70,1716722910037,174403752
4,75,75,100,71,1716722910037,174403752
4,75,75,100,72,1716722910037,174403752
4,75,75,100,73,1716722910037,174403752
4,75,75,100,74,1716722910037,174403752
4,75,75,100,75,1716722910037,174403752
4,75,75,100,76,1716722910037,174403752
4,75,75,100,77,1716722910037,174403752
4,75,75,100,78,1716722910037,174403752
4,75,75,100,79,1716722910037,174403752
4,75,75,100,80,1716722910037,174403752
4,75,75,100,81,1716722910037,174403752
4,75,75,100,82,1716722910037,174403752
4,75,75,100,83,1716722910037,174403752
4,75,75,100,84,1716722910037,174403752
4,75,75,100,85,1716722910037,174403752
4,75,75,100,86,1716722910037,174403752
4,75,75,100,87,1716722910037,174403752
4,75,75,100,88,1716722910037,174403752
4,75,75,100,89,1716722910037,174403752
4,75,75,100,90,1716722910037,174403752
4,75,75,100,91,1716722910037,174403752
4,75,75,100,92,1716722910037,174403752
4,75,75,100,93,1716722910037,174403752
4,75,75,100,94,1716722910037,174403752
4,75,75,100,95,1716722910037,174403752
4,75,75,100,96,1716722910037,174403752
4,75,75,100,97,1716722910037,174403752
4,75,75,100,98,1716722910037,174403752
4,75,75,100,99,1716722910037,174403752
4,100,100,25,0,1716722921982,91167448
4,100,100,25,1,1716722921982,91167448
4,100,100,25,2,1716722921982,91167448
4,100,100,25,3,1716722921982,91167448
4,100,100,25,4,1716722921982,91167448
4,100,100,25,5,1716722921982,91167448
4,100,100,25,6,1716722921982,91167448
4,100,100,25,7,1716722921982,91167448
4,100,100,25,8,1716722921982,91167448
4,100,100,25,9,1716722921982,91167448
4,100,100,25,10,1716722921982,91167448
4,100,100,25,11,1716722921982,91167448
4,100,100,25,12,1716722921982,91167448
4,100,100,25,13,1716722921982,91167448
4,100,100,25,14,1716722921982,91167448
4,100,100,25,15,1716722921982,91167448
4,100,100,25,16,1716722921982,91167448
4,100,100,25,17,1716722921982,91167448
4,100,100,25,18,1716722921982,91167448
4,100,100,25,19,1716722921982,91167448
4,100,100,25,20,1716722921982,91167448
4,100,100,25,21,1716722921982,91167448
4,100,100,25,22,1716722921982,91167448
4,100,100,25,23,1716722921982,91167448
4,100,100,25,24,1716722921982,91167448
4,100,100,50,0,1716722930115,106104776
4,100,100,50,1,1716722930115,106104776
4,100,100,50,2,1716722930115,106104776
4,100,100,50,3,1716722930115,106104776
4,100,100,50,4,1716722930115,106104776
4,100,100,50,5,1716722930115,106104776
4,100,100,50,6,1716722930115,106104776
4,100,100,50,7,1716722930115,106104776
4,100,100,50,8,1716722930115,106104776
4,100,100,50,9,1716722930115,106104776
4,100,100,50,10,1716722930115,106104776
4,100,100,50,11,1716722930115,106104776
4,100,100,50,12,1716722930115,106104776
4,100,100,50,13,1716722930115,106104776
4,100,100,50,14,1716722930115,106104776
4,100,100,50,15,1716722930115,106104776
4,100,100,50,16,1716722930115,106104776
4,100,100,50,17,1716722930115,106104776
4,100,100,50,18,1716722930115,106104776
4,100,100,50,19,1716722930115,106104776
4,100,100,50,20,1716722930115,106104776
4,100,100,50,21,1716722930115,106104776
4,100,100,50,22,1716722930115,106104776
4,100,100,50,23,1716722930115,106104776
4,100,100,50,24,1716722930115,106104776
4,100,100,50,25,1716722930115,106104776
4,100,100,50,26,1716722930115,106104776
4,100,100,50,27,1716722930115,106104776
4,100,100,50,28,1716722930115,106104776
4,100,100,50,29,1716722930115,106104776
4,100,100,50,30,1716722930115,106104776
4,100,100,50,31,1716722930115,106104776
4,100,100,50,32,1716722930115,106104776
4,100,100,50,33,1716722930115,106104776
4,100,100,50,34,1716722930115,106104776
4,100,100,50,35,1716722930115,106104776
4,100,100,50,36,1716722930115,106104776
4,100,100,50,37,1716722930115,106104776
4,100,100,50,38,1716722930115,106104776
4,100,100,50,39,1716722930115,106104776
4,100,100,50,40,1716722930115,106104776
4,100,100,50,41,1716722930115,106104776
4,100,100,50,42,1716722930115,106104776
4,100,100,50,43,1716722930115,106104776
4,100,100,50,44,1716722930115,106104776
4,100,100,50,45,1716722930115,106104776
4,100,100,50,46,1716722930115,106104776
4,100,100,50,47,1716722930115,106104776
4,100,100,50,48,1716722930115,106104776
4,100,100,50,49,1716722930115,106104776
4,100,100,75,0,1716722939305,172900696
4,100,100,75,1,1716722939305,172900696
4,100,100,75,2,1716722939305,172900696
4,100,100,75,3,1716722939305,172900696
4,100,100,75,4,1716722939305,172900696
4,100,100,75,5,1716722939306,172900696
4,100,100,75,6,1716722939306,172900696
4,100,100,75,7,1716722939306,172900696
4,100,100,75,8,1716722939306,172900696
4,100,100,75,9,1716722939306,172900696
4,100,100,75,10,1716722939306,172900696
4,100,100,75,11,1716722939306,172900696
4,100,100,75,12,1716722939306,172900696
4,100,100,75,13,1716722939306,172900696
4,100,100,75,14,1716722939306,172900696
4,100,100,75,15,1716722939306,172900696
4,100,100,75,16,1716722939306,172900696
4,100,100,75,17,1716722939306,172900696
4,100,100,75,18,1716722939306,172900696
4,100,100,75,19,1716722939306,172900696
4,100,100,75,20,1716722939306,172900696
4,100,100,75,21,1716722939306,172900696
4,100,100,75,22,1716722939306,172900696
4,100,100,75,23,1716722939306,172900696
4,100,100,75,24,1716722939306,172900696
4,100,100,75,25,1716722939306,172900696
4,100,100,75,26,1716722939306,172900696
4,100,100,75,27,1716722939306,172900696
4,100,100,75,28,1716722939306,172900696
4,100,100,75,29,1716722939306,172900696
4,100,100,75,30,1716722939306,172900696
4,100,100,75,31,1716722939306,172900696
4,100,100,75,32,1716722939306,172900696
4,100,100,75,33,1716722939306,172900696
4,100,100,75,34,1716722939306,172900696
4,100,100,75,35,1716722939306,172900696
4,100,100,75,36,1716722939306,172900696
4,100,100,75,37,1716722939306,172900696
4,100,100,75,38,1716722939306,172900696
4,100,100,75,39,1716722939306,172900696
4,100,100,75,40,1716722939306,172900696
4,100,100,75,41,1716722939306,172900696
4,100,100,75,42,1716722939306,172900696
4,100,100,75,43,1716722939306,172900696
4,100,100,75,44,1716722939306,172900696
4,100,100,75,45,1716722939306,172900696
4,100,100,75,46,1716722939306,172900696
4,100,100,75,47,1716722939306,172900696
4,100,100,75,48,1716722939306,172900696
4,100,100,75,49,1716722939306,172900696
4,100,100,75,50,1716722939306,172900696
4,100,100,75,51,1716722939306,172900696
4,100,100,75,52,1716722939306,172900696
4,100,100,75,53,1716722939306,172900696
4,100,100,75,54,1716722939306,172900696
4,100,100,75,55,1716722939306,172900696
4,100,100,75,56,1716722939306,172900696
4,100,100,75,57,1716722939306,172900696
4,100,100,75,58,1716722939306,172900696
4,100,100,75,59,1716722939306,172900696
4,100,100,75,60,1716722939306,172900696
4,100,100,75,61,1716722939306,172900696
4,100,100,75,62,1716722939306,172900696
4,100,100,75,63,1716722939306,172900696
4,100,100,75,64,1716722939306,172900696
4,100,100,75,65,1716722939306,172900696
4,100,100,75,66,1716722939306,172900696
4,100,100,75,67,1716722939306,172900696
4,100,100,75,68,1716722939306,172900696
4,100,100,75,69,1716722939306,172900696
4,100,100,75,70,1716722939306,172900696
4,100,100,75,71,1716722939306,172900696
4,100,100,75,72,1716722939306,172900696
4,100,100,75,73,1716722939306,172900696
4,100,100,75,74,1716722939306,172900696
4,100,100,100,0,1716722949074,237902368
4,100,100,100,1,1716722949074,237902368
4,100,100,100,2,1716722949074,237902368
4,100,100,100,3,1716722949074,237902368
4,100,100,100,4,1716722949074,237902368
4,100,100,100,5,1716722949074,237902368
4,100,100,100,6,1716722949074,237902368
4,100,100,100,7,1716722949074,237902368
4,100,100,100,8,1716722949074,237902368
4,100,100,100,9,1716722949074,237902368
4,100,100,100,10,1716722949074,237902368
4,100,100,100,11,1716722949074,237902368
4,100,100,100,12,1716722949074,237902368
4,100,100,100,13,1716722949074,237902368
4,100,100,100,14,1716722949074,237902368
4,100,100,100,15,1716722949074,237902368
4,100,100,100,16,1716722949074,237902368
4,100,100,100,17,1716722949074,237902368
4,100,100,100,18,1716722949074,237902368
4,100,100,100,19,1716722949074,237902368
4,100,100,100,20,1716722949074,237902368
4,100,100,100,21,1716722949074,237902368
4,100,100,100,22,1716722949074,237902368
4,100,100,100,23,1716722949074,237902368
4,100,100,100,24,1716722949074,237902368
4,100,100,100,25,1716722949074,237902368
4,100,100,100,26,1716722949074,237902368
4,100,100,100,27,1716722949074,237902368
4,100,100,100,28,1716722949074,237902368
4,100,100,100,29,1716722949074,237902368
4,100,100,100,30,1716722949074,237902368
4,100,100,100,31,1716722949074,237902368
4,100,100,100,32,1716722949074,237902368
4,100,100,100,33,1716722949074,237902368
4,100,100,100,34,1716722949074,237902368
4,100,100,100,35,1716722949074,237902368
4,100,100,100,36,1716722949074,237902368
4,100,100,100,37,1716722949074,237902368
4,100,100,100,38,1716722949074,237902368
4,100,100,100,39,1716722949074,237902368
4,100,100,100,40,1716722949074,237902368
4,100,100,100,41,1716722949074,237902368
4,100,100,100,42,1716722949074,237902368
4,100,100,100,43,1716722949074,237902368
4,100,100,100,44,1716722949074,237902368
4,100,100,100,45,1716722949074,237902368
4,100,100,100,46,1716722949074,237902368
4,100,100,100,47,1716722949074,237902368
4,100,100,100,48,1716722949074,237902368
4,100,100,100,49,1716722949074,237902368
4,100,100,100,50,1716722949074,237902368
4,100,100,100,51,1716722949074,237902368
4,100,100,100,52,1716722949074,237902368
4,100,100,100,53,1716722949074,237902368
4,100,100,100,54,1716722949074,237902368
4,100,100,100,55,1716722949074,237902368
4,100,100,100,56,1716722949074,237902368
4,100,100,100,57,1716722949074,237902368
4,100,100,100,58,1716722949074,237902368
4,100,100,100,59,1716722949074,237902368
4,100,100,100,60,1716722949074,237902368
4,100,100,100,61,1716722949074,237902368
4,100,100,100,62,1716722949074,237902368
4,100,100,100,63,1716722949074,237902368
4,100,100,100,64,1716722949074,237902368
4,100,100,100,65,1716722949074,238481744
4,100,100,100,66,1716722949074,238481744
4,100,100,100,67,1716722949074,238481744
4,100,100,100,68,1716722949074,238481744
4,100,100,100,69,1716722949074,238481744
4,100,100,100,70,1716722949074,238481744
4,100,100,100,71,1716722949074,238481744
4,100,100,100,72,1716722949074,238481744
4,100,100,100,73,1716722949074,238481744
4,100,100,100,74,1716722949074,238481744
4,100,100,100,75,1716722949074,238481744
4,100,100,100,76,1716722949074,238481744
4,100,100,100,77,1716722949074,238481744
4,100,100,100,78,1716722949074,238481744
4,100,100,100,79,1716722949074,238481744
4,100,100,100,80,1716722949074,238481744
4,100,100,100,81,1716722949074,238481744
4,100,100,100,82,1716722949074,238481744
4,100,100,100,83,1716722949074,238481744
4,100,100,100,84,1716722949074,238481744
4,100,100,100,85,1716722949074,238481744
4,100,100,100,86,1716722949074,238481744
4,100,100,100,87,1716722949074,238481744
4,100,100,100,88,1716722949074,238481744
